text,label
Poor dramatic tension,negative
Uninspired visuals,negative
Very underwhelming experience,negative
Weak emotional storytelling,negative
Poor cinematic tone,negative
Very predictable ending,negative
Badly paced film,negative
Uninteresting characters,negative
Weak visual storytelling,negative
Extremely bland plot,negative
Poor production design,negative
Very confusing scenes,negative
Unfocused narrative flow,negative
Very dull cinematography,negative
Weak story execution,negative
Lacked originality,negative
Very forced dialogue,negative
Poor directorial vision,negative
Messy storytelling approach,negative
Very inconsistent pacing,negative
Unconvincing emotional scenes,negative
Weak storytelling clarity,negative
Poor dramatic execution,negative
Extremely uneven film,negative
Very lifeless performances,negative
Flat emotional tone,negative
Uninteresting visual design,negative
Very chaotic narrative,negative
Weak audience engagement,negative
Very unsatisfying story,negative
Poorly structured plot,negative
Lacked narrative focus,negative
Very weak screenplay,negative
Bad storytelling rhythm,negative
Very shallow storytelling,negative
Unpleasant viewing experience,negative
Very poorly crafted film,negative
Weak creative direction,negative
Poor cinematic quality,negative
Extremely uninspiring movie,negative
Very fragmented storytelling,negative
Weak artistic vision,negative
Poor storytelling impact,negative
Very lifeless narrative,negative
Unbalanced storytelling,negative
Weak cinematic atmosphere,negative
Very awkward pacing,negative
Poor storytelling execution,negative
Very forgettable characters,negative
Weak scene transitions,negative
Extremely weak plot,negative
Very unsatisfying experience,negative
bharath,positive
